time,eke_ice,eke_acc,ck_ice,ck_acc,wm_ice,wm_acc,we_ice,we_acc
1993-01-01,0.002915069,0.007351815,-5.0264518242082445e-11,1.0231890890111117e-09,0.00028480219771154225,0.004030170850455761,1.893603075586725e-05,-1.413168774888618e-05
1993-02-01,0.0029494006,0.008172533,3.4523134351260865e-10,7.791578493510087e-10,0.0022292286157608032,0.004840479698032141,7.536271004937589e-05,-3.183623630320653e-05
1993-03-01,0.0029690785,0.0077783265,4.3822645512392455e-10,1.9410227591887264e-10,0.0017375282477587461,0.0044441851787269115,6.345372094074264e-05,1.9727611288544722e-05
1993-04-01,0.0032100356,0.0079802545,3.1671640310371174e-10,1.9719413602015123e-10,0.0027043025474995375,0.005337344016879797,0.00016055369633249938,0.00011597111006267369
1993-05-01,0.0032632586,0.0074142525,3.028443051888985e-10,2.712352287215225e-10,0.0022514278534799814,0.005263715982437134,0.0002110893838107586,2.9547294616349973e-05
1993-06-01,0.0036124394,0.007320786,3.38395811372294e-10,4.225546579306183e-10,0.00225327187217772,0.005194127559661865,9.883013262879103e-05,1.1929002539545763e-05
1993-07-01,0.0038801245,0.0065188054,4.284046728475488e-10,5.100559419268791e-10,0.0031065545044839382,0.006343004293739796,0.0001530694862594828,-9.279861842514947e-05
1993-08-01,0.0044884863,0.006874162,8.792958028358555e-10,-1.4615711418919375e-10,0.0023568777833133936,0.0058311037719249725,5.649467129842378e-05,-2.205103010055609e-05
1993-09-01,0.0048405924,0.007445851,7.206301666506931e-10,1.0352214641073942e-09,0.0039139254949986935,0.006262296810746193,3.326516525703482e-05,-0.00011081944103352726
1993-10-01,0.004760343,0.007779407,7.013234437636129e-10,7.53310636092408e-10,0.00318452762439847,0.006013274658471346,4.771738167619333e-05,-0.00016403105109930038
1993-11-01,0.0045561707,0.0076474384,4.426338462426571e-10,9.350329399637758e-10,0.002650157082825899,0.005438351072371006,9.670766303315759e-05,-0.0001670353813096881
1993-12-01,0.0032075238,0.00709053,3.9936562390430197e-10,6.968333687851214e-10,0.0020475476048886776,0.005716085899621248,3.131143967038952e-05,-5.459942985908128e-05
1994-01-01,0.0027556475,0.006594225,5.557470039718737e-10,5.471719188854252e-10,0.0019008370582014322,0.0046285600401461124,4.436335075297393e-05,-4.2038831452373415e-05
1994-02-01,0.00265699,0.0064018415,4.4728204473543087e-10,2.1028176422355216e-10,0.0029166664462536573,0.0055290041491389275,8.644579065730795e-05,-3.2300565635523526e-06
1994-03-01,0.0024602814,0.005770498,4.4213663286107874e-10,6.7479399845638e-10,0.0026214856188744307,0.004786924459040165,0.00011160328722326085,8.490382606396452e-05
1994-04-01,0.003207055,0.0073356717,8.682512486757332e-10,7.506244514843274e-10,0.002077792538329959,0.006209966726601124,0.00014423893298953772,0.00017779880727175623
1994-05-01,0.0033603853,0.00777765,3.2853475495642215e-10,4.262827868473096e-10,0.0008165569161064923,0.0036356202326714993,7.201903645182028e-05,0.00011697469017235562
1994-06-01,0.004075667,0.0075284885,5.401052383113836e-10,5.455163543111041e-10,0.00046810644562356174,0.003971754107624292,5.0500264478614554e-05,8.429667650489137e-05
1994-07-01,0.004643413,0.0069037243,4.285640176071581e-10,6.14105377660934e-10,0.0012851497158408165,0.006239710375666618,-1.0534648026805371e-05,0.00011149026249768212
1994-08-01,0.0053417734,0.0070264568,7.915654798296146e-10,6.270930441587552e-10,0.003513580420985818,0.0071843573823571205,0.00014990415365900844,-9.047532512340695e-05
1994-09-01,0.005233945,0.0071521,6.167248933763858e-10,6.071524949469165e-10,0.0020699964370578527,0.004313349723815918,4.912288568448275e-05,-1.1310423360555433e-05
1994-10-01,0.0053011077,0.007181204,1.0563527830242947e-09,3.5408018184135415e-10,0.0024565965868532658,0.005770198069512844,-3.48633220710326e-05,-9.412033978151157e-05
1994-11-01,0.0047547664,0.0077873073,6.559123799654287e-10,1.34746314106593e-09,0.0009671931620687246,0.004350009839981794,-4.299664851714624e-06,-0.00012189640256110579
1994-12-01,0.003805502,0.008055773,8.068594681276409e-10,9.368131825837622e-10,0.0014741785125806928,0.005108126439154148,3.726561044459231e-05,-7.182357512647286e-05
1995-01-01,0.0034549572,0.008229432,5.305991201964844e-10,8.459170586228026e-10,0.0026611045468598604,0.005227615591138601,4.9356935051037e-05,-0.00012699680519290268
1995-02-01,0.0032888679,0.008471948,4.0401240686271933e-10,1.2170442431624906e-09,0.0022767691407352686,0.004678638186305761,-1.168140624940861e-05,-2.384167237323709e-05
1995-03-01,0.0030641344,0.007989682,3.0880470403005233e-10,9.987068949612876e-10,0.0019104453967884183,0.005074487067759037,7.812643889337778e-05,2.7339918233337812e-05
1995-04-01,0.003242977,0.0074851834,1.4283478566579078e-10,1.1645807651561313e-09,0.0027057037223130465,0.004825116600841284,0.00010403217311250046,8.698860619915649e-05
1995-05-01,0.003544546,0.007174443,3.7446129530493977e-10,9.916057974734827e-10,0.0023739400785416365,0.005292530637234449,7.820300379535183e-05,9.337594383396208e-05
1995-06-01,0.0045024855,0.007457612,7.683886305009935e-10,6.005142494380777e-10,0.0009233644232153893,0.0034442131873220205,-7.154073955462081e-06,3.436572660575621e-05
1995-07-01,0.004788468,0.006841236,9.040345694266705e-10,1.7482462699724977e-10,0.0006681354716420174,0.0044582621194422245,9.094359847949818e-05,0.0001318532886216417
1995-08-01,0.0048943567,0.0067788092,7.217162423245327e-10,4.856698931909875e-10,0.0015458795242011547,0.0046648504212498665,4.9063703045248985e-05,6.787222810089588e-05
1995-09-01,0.0050065103,0.0072189234,3.2363434154802917e-10,9.225217256769724e-10,0.0029420533683151007,0.00605232547968626,-0.0001422048662789166,-5.689536192221567e-05
1995-10-01,0.0047593936,0.007509874,3.5793909503034627e-10,5.108039546897203e-10,0.0026421453803777695,0.004156758077442646,-0.00013571753515861928,-9.878653509076685e-05
1995-11-01,0.004254589,0.007080016,5.579679496214851e-10,5.682381232219313e-10,0.003151428187265992,0.0054833306930959225,-4.578335938276723e-05,-0.00015802124107722193
1995-12-01,0.0033603604,0.0066561825,2.692344680532699e-10,8.618642466373672e-10,0.0028660602401942015,0.004148602019995451,1.952003367478028e-05,-0.00010163254773942754
1996-01-01,0.0028167316,0.0067199906,3.451014196631519e-10,3.4124955639036614e-10,0.0022436538711190224,0.004197289235889912,-4.162900950177573e-05,-6.042878158041276e-05
1996-02-01,0.0029987774,0.0076503726,2.3904334067736954e-10,8.180590649331521e-10,0.0015039652353152633,0.0036462415009737015,-6.825290620326996e-05,-7.757256753393449e-06
1996-03-01,0.002796104,0.0073056216,3.1543084810792266e-10,2.007738940379422e-11,0.0024271646980196238,0.0044831098057329655,-4.021538552478887e-05,9.011941438075155e-05
1996-04-01,0.003082566,0.0076508652,6.6744110238659e-10,1.0572143160914038e-09,0.0022493847645819187,0.00481525668874383,-4.312361397751374e-06,0.00011261342297075316
1996-05-01,0.0034115955,0.0074767075,7.048995276370817e-10,8.879127433303324e-10,0.0023953665513545275,0.005621051881462336,0.0001349047670373693,0.00023240137670654804
1996-06-01,0.00366489,0.0077685867,4.4589537617767405e-10,1.0920370163702842e-10,0.001984634669497609,0.004117167554795742,1.7773018043953925e-05,1.7592272342881188e-05
1996-07-01,0.004174661,0.007085203,6.442345545920602e-10,1.2530722293124796e-10,0.002624128246679902,0.004490349441766739,5.570787106989883e-05,-8.667292422614992e-05
1996-08-01,0.0047650062,0.0068837265,8.662707773332556e-10,4.6117634711073663e-10,0.0014532952336594462,0.004417674615979195,-9.417011824552901e-06,-3.300273237982765e-05
1996-09-01,0.004969713,0.0072471565,4.2151052093153396e-10,3.2399322114073925e-10,0.0016348639037460089,0.0030416471417993307,-7.737323176115751e-05,-2.6846757464227267e-05
1996-10-01,0.004669507,0.0073462026,3.4840172413730386e-10,5.647818879239708e-10,0.003859990742057562,0.005989489611238241,-3.7781290302518755e-05,-0.00011561313294805586
