,time,eke_ice,eke_acc,eke_full,tau_ice,tau_acc,taueff_ice,taueff_acc,w_ice,w_acc,weff_ice,sic_ice,aao,nino34,eke_ice_anom,eke_ice_std,eke_acc_anom,eke_acc_std,eke_full_anom,eke_full_std,tau_ice_anom,tau_ice_std,tau_acc_anom,tau_acc_std,taueff_ice_anom,taueff_ice_std,taueff_acc_anom,taueff_acc_std,w_ice_anom,w_ice_std,w_acc_anom,w_acc_std,weff_ice_anom,weff_ice_std,sic_ice_anom,sic_ice_std,aao_anom,aao_std,nino34_anom,nino34_std
10,1993-11-01,0.0045561707,0.0076474384,0.0067543527,0.05376675,0.076638125,0.04422588,0.07829934,9.670766e-05,-0.00016703538,9.708005e-05,0.37984896,1.0018,26.71,-0.00033425493,-0.98548895,-0.0008841804,-1.1507272,-0.00070761517,-1.2220256,0.002253782,0.22093114,0.0073806792,0.81122243,0.004368089,0.36498135,0.0075681955,0.8091766,6.5206055e-05,0.79083204,-0.00016680209,-1.9732869,6.554213e-05,0.7928844,0.010921925,0.5522619,0.8620375,0.8625912176020433,0.03843750000000057,0.043236331395993644
11,1993-12-01,0.0032075238,0.00709053,0.005683778,0.03676271,0.07329134,0.032533374,0.07483382,3.131144e-05,-5.459943e-05,3.109303e-05,0.21642698,-0.1041,26.76,-0.00056696427,-1.6715896,-0.0013337391,-1.7358108,-0.0010714699,-1.8503894,-0.0042421594,-0.41584525,0.0056564733,0.62171215,-0.0021161959,-0.17682151,0.0057872683,0.6187634,-5.45492e-06,-0.06615838,-6.712434e-05,-0.79408824,-5.470516e-06,-0.066178635,0.00088970363,0.044987343,0.13231290322580644,0.13239789254876927,0.20677419354839088,0.23258946488188592
12,1994-01-01,0.0027556475,0.006594225,0.0050905743,0.03610224,0.06781283,0.029960666,0.06934662,4.436335e-05,-4.203883e-05,4.6315137e-05,0.107671954,-0.2879,26.64,-0.0005270762,-1.553987,-0.001851839,-2.410098,-0.00132692,-2.2915423,-0.0020353645,-0.19952019,-0.0014647767,-0.16099608,-0.0031112097,-0.2599612,-0.0014266148,-0.15253073,8.378491e-06,0.101615995,-0.00010532317,-1.2459846,9.464511e-06,0.114495225,0.009567454,0.48377374,-0.16982499999999998,-0.1699340846880408,0.19468750000000057,0.21899377609515372
13,1994-02-01,0.00265699,0.0064018415,0.004903257,0.056992467,0.07752751,0.05205757,0.07934291,8.644579e-05,-3.2300566e-06,8.829861e-05,0.06932836,-0.8615,26.81,-0.00058680354,-1.730082,-0.002425775,-3.157054,-0.0016752449,-2.8930867,0.006553758,0.6424441,0.010730639,1.179422,0.006618239,0.55299556,0.0109205395,1.1676027,2.6690832e-05,0.32371172,-0.00010315251,-1.2203054,2.7335733e-05,0.3306892,0.010975745,0.55498326,-1.0467656250000001,-1.0474380001017518,0.14937499999999915,0.1680241171323957
14,1994-03-01,0.0024602814,0.005770498,0.004460871,0.061718646,0.059315,0.055682037,0.060903087,0.00011160329,8.4903826e-05,0.00011040315,0.09984017,1.881,27.39,-0.00067218905,-1.9818255,-0.0027442668,-3.571559,-0.0018971716,-3.2763462,0.0030917712,0.30307654,-0.008912038,-0.9795368,0.004446257,0.37151277,-0.0090048835,-0.9627843,2.9088187e-06,0.03527872,-6.660207e-05,-0.78790975,1.9302752e-06,0.023351133,0.021384232,1.0812836,1.5908125,1.5918343359210596,0.1750000000000007,0.1968483380630597
15,1994-04-01,0.003207055,0.0073356717,0.0057911263,0.055452935,0.08218663,0.041111555,0.08432691,0.00014423893,0.0001777988,0.0001462738,0.17167695,0.2247,28.08,-0.00017963396,-0.5296176,-0.0011931867,-1.5528871,-0.0007881513,-1.3611087,-0.007422976,-0.7276506,0.011867739,1.3044025,-0.009958815,-0.83212173,0.012251683,1.3099258,1.3348428e-05,0.16189238,-1.4209683e-05,-0.1681021,1.6686186e-05,0.20185818,0.01688686,0.85387605,0.12937500000000002,0.12945810220235704,0.33374999999999844,0.3754179018774038
16,1994-05-01,0.0033603853,0.00777765,0.006238382,0.036576133,0.053391658,0.02116203,0.054566555,7.201904e-05,0.00011697469,6.597406e-05,0.26131758,-0.1154,28.24,-0.00036089588,-1.0640349,-0.0005087415,-0.66210765,-0.00044524763,-0.76892644,-0.021963742,-2.1530352,-0.015311986,-1.6829655,-0.021586344,-1.803675,-0.015897848,-1.6997663,-6.024575e-05,-0.7306725,-5.41463e-05,-0.64055663,-6.4763386e-05,-0.78346366,0.0100669265,0.5090293,-0.1814375,-0.18155404381325724,0.37562499999999943,0.4225208970567798
17,1994-06-01,0.004075667,0.0075284885,0.0064271432,0.044672832,0.05186973,0.017123194,0.053185616,5.0500264e-05,8.429668e-05,4.5546334e-05,0.34643096,1.6063,28.04,-0.00019971188,-0.5888136,-0.0007465575,-0.97161615,-0.0005675033,-0.98005754,-0.0086372085,-0.8466779,-0.012504604,-1.3744016,-0.016876267,-1.4101185,-0.012799758,-1.3685248,-3.588072e-05,-0.43516853,-4.0743653e-05,-0.48200184,-3.992354e-05,-0.48296803,0.006334543,0.3203031,1.604184375,1.605214800155936,0.34781249999999986,0.39123607190032983
18,1994-07-01,0.004643413,0.0069037243,0.006251995,0.043646455,0.07530008,0.022868631,0.077349395,-1.0534648e-05,0.00011149026,-1.1393018e-06,0.42424223,0.3507,27.54,-0.00010654703,-0.3141342,-0.0010604155,-1.3800905,-0.0007731067,-1.3351271,-0.011151399,-1.093136,0.0042727664,0.46962664,-0.012949353,-1.082,0.004513979,0.4826258,-0.00010427323,-1.2646465,1.565196e-05,0.18516439,-9.51427e-05,-1.150972,0.0105088055,0.5313727,0.45395937500000005,0.4542509693871933,0.27749999999999986,0.31214522178570775
19,1994-08-01,0.0053417734,0.0070264568,0.006574751,0.07329851,0.0972378,0.054954614,0.0996142,0.00014990415,-9.0475325e-05,0.00014826111,0.46238133,0.8275,27.38,0.00015473925,0.45622018,-0.00085411454,-1.1115975,-0.0005783257,-0.99874747,0.012762163,1.2510341,0.02704499,2.972559,0.015763585,1.3171468,0.027669564,2.9583755,7.0131966e-05,0.8505745,-0.00013674384,-1.6176945,6.986692e-05,0.84520274,0.0040844083,0.20652609,0.864503125,0.8650584263614071,0.556874999999998,0.6263995329078039
